"","logFC","logCPM","F","PValue","FDR"
"TRANK1",1.66630301564652,6.15827252181766,464.310498731562,8.13780511004029e-71,6.6659915542531e-69
"UBASH3B",2.27134309792985,6.59033094692685,530.779804591673,8.76841289635471e-71,7.14834422788536e-69
"VAV2",1.79115988714788,5.74405358994597,467.376924023597,1.03977982929609e-70,8.43650743011801e-69
"RGS17",1.64437280859558,6.33115283537188,467.790027983487,1.1270304081831e-70,9.10130216419556e-69
"CCSER1",1.55047567773357,10.3378216452882,495.88326591152,1.13451479653069e-70,9.11872925662227e-69
"LHFPL3",2.36540367950637,9.30661834366635,557.960126124412,1.32251621352319e-70,1.05801297081856e-68
"SCN9A",2.42537504393486,5.94870636542857,487.972276175289,1.36715242034508e-70,1.08863485750268e-68
"NELL1",1.94764130748948,8.32789606271723,537.642974380656,2.73608031562058e-70,2.16859699089927e-68
"CACNA1A",1.57144404757259,9.11434241992847,489.818393738772,3.02787024465224e-70,2.38880822988232e-68
"ARHGAP20",1.49604755678643,7.1225176214733,465.921113895801,6.76007481115265e-70,5.3088293929786e-68
"PYGO1",2.3335793467002,4.49633100707397,438.122130934895,2.09119729666632e-69,1.63476245291906e-67
"RPS6KA2",1.4847804598761,8.40705830373545,478.170427614171,3.35318281324604e-69,2.60938589830782e-67
"RSPO3",3.03775849749296,4.11449021051398,449.428720635799,4.93519181097661e-69,3.82309881465699e-67
"MAN1A1",2.03214465198857,7.26622077704531,538.632051911412,5.33182518725752e-69,4.11174987413733e-67
"KCND2",1.88979119400055,9.46229203299846,523.740971043548,1.19293809420411e-68,9.15834088465217e-67
"NHS",1.89917969705952,6.9012543607352,488.260563748975,1.26869348743303e-68,9.69644308252385e-67
"GPC6",2.23450414873411,9.12510692008125,539.970007115146,2.43760762180516e-68,1.85474855490241e-66
"LRTM1",2.42930033716922,5.12391849498089,435.08877664848,3.22321469050324e-68,2.44165643811573e-66
"ZNF618",1.98139549034865,4.94425602509516,430.011607986878,6.89461455257152e-68,5.19981502819491e-66
"FRMPD4",1.42893131020749,9.45129052277243,461.307587912344,1.01597965801226e-67,7.62875953735525e-66
"GPR126",2.91886538572796,3.66439349124835,431.680203240309,1.89657103008725e-67,1.4178731893054e-65
"PPP4R4",1.75884714649621,6.56013088049686,457.96917695205,2.3330346359415e-67,1.73658925944863e-65
"BLM",2.39135772749668,4.30895840517352,411.974369737457,4.70583600260064e-67,3.48761525387545e-65
