"","logFC","logCPM","F","PValue","FDR"
"MT1E",4.77663878291156,5.07889104747699,1586.88244322601,1.50499078953681e-144,2.47744637662214e-142
"SLC38A11",5.92491238419497,4.99918361151015,1538.35345589028,4.42101944595743e-144,7.20836694426583e-142
"NFKBIA",4.07293283907382,4.69226620947172,1492.28916566773,1.0989534994254e-143,1.77491357643045e-141
"EMP2",4.91675854591418,4.007373377958,1452.93578657862,1.13742688199512e-143,1.81988301119219e-141
"TM4SF18",6.92184766312123,2.56816412537133,1569.58615075183,1.4190079202147e-143,2.24939033278478e-141
"GPCPD1",4.21275097356565,6.66750741080113,2222.49985222567,8.55281810475469e-141,1.3433417059945e-138
"SLCO2B1",4.55233402749284,5.26175951899886,1619.97238782786,2.65943825385829e-140,4.13905299145944e-138
"EPS8",3.90645474283539,6.51597923792453,1937.85619644474,3.86943182797805e-140,5.96798854909768e-138
"CLIC1",6.29867238469085,2.71154638210835,1305.80265633656,1.68513845324656e-139,2.57585449281975e-137
"ZNF366",5.81773391615869,3.10202915840792,1322.97530261062,1.07447532270223e-138,1.62787765704975e-136
"CAV1",5.39024410164759,3.09609284991673,1224.03495384382,2.49830225777389e-138,3.75183637307798e-136
"SLC39A8",4.05650210305589,4.49675099737106,1286.16731140859,1.23814351518003e-136,1.84321886781583e-134
"CYYR1",5.25385244333888,3.76048802210278,1286.20906260488,2.50353891803273e-135,3.69487812730347e-133
"EGFL7",3.5222060827728,5.95534892711948,1428.3379298416,6.80285712677724e-135,9.9542661547373e-133
"EDN1",5.71371786282222,3.06456566544215,1192.20342800291,1.5149082951661e-134,2.19790084857996e-132
"UTRN",3.07053477087255,7.66246947017116,1618.6760194321,4.98772662635728e-134,7.17562015489383e-132
"TBX18",6.20915699979882,2.58966251176547,1232.67339895466,5.78712104722737e-134,8.25629269404439e-132
"SLC7A5",4.23923804767742,6.18854538612024,1810.06877082318,1.23963712986496e-133,1.75393286473456e-131
"DLC1",3.61377893152073,8.59698878555545,1926.02026952188,5.91349011915341e-133,8.29827465900872e-131
"PTPRB",3.39565950759871,6.85153188710124,1417.6479622056,7.67674801143584e-133,1.06850346305514e-130
"MYL12A",4.40539427118355,3.59604645039699,1149.17889974156,4.12411973874916e-132,5.69394596188593e-130
"IFI44",4.8692338810647,3.76780829357576,1135.70267975796,1.49261566890801e-131,2.04428642013642e-129
"LAMB2",4.91623462995478,3.18683762574364,1064.82613162572,1.83540999431918e-131,2.49382691291622e-129
"PTH1R",4.36695996954775,3.82294765558634,1125.33058285974,1.8350217155057e-130,2.47366706846123e-128
"SLC6A13",5.07030310667061,3.33270807099798,1079.8531517193,3.71290653023967e-130,4.96601248419555e-128
"S100A11",5.55389700645381,2.88376236606512,1132.63302355346,1.52453149959208e-129,2.02325420721057e-127
"CALD1",3.08974016411738,7.34477077006325,1504.4290572781,2.24176794429807e-129,2.95223593895254e-127
"CXCL12",5.02645015976958,3.46196272015045,1112.80132109369,6.3309850597197e-129,8.27377589483979e-127
"TAGLN2",4.85749676035447,3.67892823107752,1108.93394909644,1.61760427649945e-128,2.09798372830838e-126
"SERPINB6",3.48223646154205,5.19026423045275,1214.30341827052,8.64769077817475e-128,1.11314636182219e-125
"RHOC",4.38697517436751,3.66796592133147,1046.07940180655,2.01345107159584e-127,2.57240913027767e-125
"GJC1",4.12131278826052,4.1089771811164,1075.66329359111,2.1838297902707e-127,2.76941970440255e-125
"C1orf64",7.02755158867643,2.48040967820041,1428.42657108459,4.60364004046989e-127,5.79517040388563e-125
"HLA-C",3.87552370058286,5.78548211598268,1465.88361013131,1.3476916410819e-126,1.68412269308921e-124
"PRELP",5.09792603855658,3.1827312766635,1063.29816928789,1.71207606514942e-126,2.12396682864914e-124
"RBMS3",3.4860982145878,8.56272414401775,1702.53538953302,1.77970238260847e-126,2.191978761889e-124
"LHFP",3.31273772031984,7.66929060296768,1616.52733774683,2.0462627567274e-126,2.50228702822665e-124
"C10orf54",4.22739158205705,4.1819505370787,1057.11262854854,8.40670184835312e-126,1.02072862158727e-123
"AHNAK",3.74802344530613,4.71071328597507,1152.75839573974,3.84107162275349e-125,4.63092578743238e-123
"WWTR1",3.81702264030773,6.11215302930487,1479.7584237136,5.248090087628e-125,6.28302813288052e-123
"RHOJ",3.98672574836704,5.34195287078251,1188.25140236053,7.93758183352948e-125,9.43690284652949e-123
"TMEM204",6.5687785580442,2.52051546670471,1173.82608557147,9.71323355387972e-125,1.14683143753394e-122
"SLC19A3",5.69804260184819,2.96337240554985,1075.8813415843,2.63247402604303e-124,3.08684625519567e-122
"IRAK3",4.68105623655708,4.01189963261096,1098.43768477733,6.01364051392575e-124,7.00364119717066e-122
"NKD1",4.58056449161872,3.68813381199622,967.779556147398,2.46082206750575e-123,2.84657255376341e-121
"COL1A2",6.89354164055601,2.71851631586627,1343.39437690477,3.97744650028321e-122,4.5700593345536e-120
"TXNIP",4.58763805919605,4.71808537504192,1075.10616323517,3.67949921153194e-121,4.19953510009512e-119
"EPSTI1",4.39807924557229,3.94968663819084,1015.47131880469,2.12173143071755e-120,2.40556570158175e-118
"LIMS2",4.71351898816135,3.87659218983938,1004.74086746747,5.52590554149378e-120,6.22391466252457e-118
"SLC19A1",3.87054594593783,4.05702188477423,1009.99992199592,1.25192848941622e-119,1.40085070188272e-117
"RELL1",3.93641951981094,4.71165417790403,1111.48750209342,1.53352729931812e-119,1.70480437430689e-117
"LAMA4",3.91827047761185,5.6520795040829,1232.36106127856,1.69189203419983e-119,1.86872204035491e-117
"TEK",3.83452342966783,4.87631968516605,986.707184321558,6.87370297545887e-119,7.5434483935805e-117
"SMAD6",5.09025396576702,3.406365655846,987.989035823515,1.74731011356727e-118,1.90534707925298e-116
"YES1",3.70635459875773,4.58956445760142,1023.67077785027,1.89903915167217e-118,2.05769305548275e-116
"TMEM123",4.01281931933404,5.14226809384631,1206.62358972438,1.98875561022903e-118,2.14135195264912e-116
"CA4",4.02620164515012,4.8260507780547,1033.15361119963,1.33783307051483e-117,1.43148138545087e-115
"YAP1",4.27928065619006,4.94749673825625,1144.55867616417,1.69417961372958e-117,1.80151273211493e-115
"PALD1",3.48929037252205,4.98766233095556,1016.53538369688,2.26097177687703e-117,2.38937264321819e-115
"LMCD1",4.56420937364445,3.34485155125373,890.0026146247,5.92531713255729e-117,6.22340057112765e-115
"NR2F2",5.00587228979886,4.41468152195436,992.747901787794,6.25700793214386e-117,6.53170584135993e-115
"YBX3",4.8919605833334,3.78548622252128,1012.90857141818,3.33097317174281e-116,3.45613701213557e-114
"DUSP1",4.07615249883005,5.66105861453796,1225.75919973169,5.83569622975329e-116,6.01850117189014e-114
"COL4A1",4.25291675831652,5.17863984178085,1123.29690225424,8.37430271481043e-116,8.58491392081165e-114
"ZFP36L1",4.04701902555165,5.68065577419361,1131.15673295417,1.17262006084235e-115,1.19495568104887e-113
"BSG",2.65428554952904,7.92776326352666,1183.66426614147,2.77409438222923e-114,2.81020685347719e-112
"FGD5",4.30922470398357,4.03523435296712,948.757039766264,4.57167465778421e-114,4.60394530242739e-112
"PALMD",4.76983852754589,4.87340390240504,1034.48242293542,1.84741161735463e-113,1.84957233269656e-111
"PLCB4",3.0111183956124,6.94783500123939,1116.62901599563,4.3080983557323e-113,4.28806068896145e-111
"TACC1",2.48657796507912,7.47467517797809,1085.68689298574,6.8130174267922e-113,6.74213054027066e-111
"OSMR",4.58299693580733,3.65686129424357,893.293922521859,7.02560993902516e-113,6.91255414690292e-111
"LRRC32",7.28531680656815,2.4253448663062,1303.80169569675,7.34839554933849e-113,7.18883038883856e-111
"ZFP36",5.44899162194198,3.77790376953304,983.451445643038,8.09927471315568e-113,7.87838540279689e-111
"CLEC14A",5.52044299153103,2.92280194679555,942.0041971459,9.38082035987304e-113,9.07342624638568e-111
"pk",3.36998172084352,4.95657087719199,970.863075099176,4.38355232531633e-112,4.21609077580986e-110
"APOLD1",3.89594746960036,5.31979507481221,1127.59452996382,6.21563980726042e-112,5.9447906983407e-110
"FOXC1",7.05959582597884,2.42860531738977,1248.81929036552,9.23323993126971e-112,8.78183709018542e-110
"NXN",3.12522018842078,6.54311882233831,1163.23559893325,1.74816095858593e-111,1.65350914977851e-109
"EMP1",5.97584645705467,4.0213631137074,1082.05031953954,2.25916220419127e-111,2.12510202943706e-109
"TBC1D4",2.71761301218451,6.88956318430929,1050.64701581049,2.52486487231687e-111,2.36205937781775e-109
"SLC5A6",3.71675699160705,4.26531829462168,892.592645840587,2.996540101301e-111,2.78808513773224e-109
"SGPP2",3.69774696392776,5.19028430292306,931.766009424991,6.29541487064093e-111,5.82581095056069e-109
"HSPA12B",4.94234155078595,2.99571772124155,875.546328650236,3.76687591034048e-110,3.46714599919511e-108
"LSR",4.6169756502741,3.22973755955758,846.809518077722,4.10048702354496e-110,3.75402876166255e-108
"RASIP1",4.16698283762298,3.67339428112991,812.223662003656,1.41737117376032e-108,1.29071247312642e-106
"INPP5D",4.05080554858111,5.41439795504921,1046.95941185267,1.51121063112797e-108,1.36888497380481e-106
"PGM5",4.20833582273422,4.30883371161355,941.811987979026,2.85945545260423e-108,2.57651986045181e-106
"MYCT1",6.18606532163566,2.52964038389837,931.239511315703,4.07178390151514e-108,3.64968274313818e-106
"RBMS2",3.22266467973233,5.24423621787154,918.899291609876,4.87797816366162e-108,4.34953052926494e-106
"SMOC2",4.70465067575545,3.58629382667375,871.10560533534,5.00362466893591e-108,4.43844841099392e-106
"TAGLN",3.94425662544363,4.87390849047422,984.704253076994,1.1962886151081e-107,1.0556938706521e-105
"SEMA3G",7.40800823850075,2.35573208998147,1283.11487802156,1.56644708852683e-107,1.37526021310663e-105
"TINAGL1",6.77393806816501,2.47511475891174,1050.94777002838,1.68184817369839e-107,1.46904289457737e-105
"SMTN",3.97761076573463,3.57702544102475,825.642661116883,1.73010140626957e-107,1.50351959773275e-105
"ETS2",2.98808579004417,6.05198380783144,964.529286413329,2.76595941862274e-107,2.39157703266774e-105
"TMEM88",5.10921045643578,2.62051969050075,768.002912071854,3.08341601083524e-107,2.6526674424874e-105
"SVIL",3.69039344201943,5.84220867826978,1014.61375653058,4.24274657209532e-107,3.63179106571359e-105
"MSN",3.53159392968832,5.04736918734446,993.35436218458,4.36645070811341e-107,3.71908637427371e-105
"NES",4.8897496636131,2.81436926686279,783.442935542822,6.46431942265603e-107,5.47867071860748e-105
"SMIM3",5.46292299794046,2.63963925054601,810.826621004397,2.34193628151597e-106,1.9750713861849e-104
"ANXA3",5.63946980355315,2.67276043536261,828.462198020088,2.62939954197024e-106,2.20663334110444e-104
"ZIC2",5.7128839440771,2.65436144643094,849.98401538219,2.68617301097612e-106,2.24328204623957e-104
"ZIC1",4.49471718746518,4.7472388786389,853.830202483376,4.61282969697432e-106,3.83357497146603e-104
"ITGB1",2.78321746671531,5.87863413304447,912.923455629502,4.8682436777333e-106,4.02629622042484e-104
"CLEC1A",6.19655682629123,2.35418958232499,851.322131201967,6.7483453624809e-106,5.5544073368112e-104
"FOXO1",3.47840609512172,6.38378757120125,1069.67597428944,8.99600795736545e-106,7.36897876699026e-104
"CYP1B1",4.87414032572512,3.8129684280557,840.432414375724,1.4911622763298e-105,1.21565229384601e-103
"SLC40A1",4.24196031742668,3.43664631802579,772.340434486768,3.780824048953e-105,3.06766387289456e-103
"ESYT2",2.98980726924007,7.69944469190363,1174.72548538807,7.28203842281499e-105,5.88058951880154e-103
"FLVCR2",5.29296055214793,2.66195707588003,745.089478318681,1.67044068195905e-104,1.34262650118024e-102
"S1PR1",4.94832270235319,3.13529267766138,744.320248106676,4.45631195027418e-104,3.56504956021934e-102
"PLEKHG1",3.55887683724699,6.28689336739925,1065.55138416123,1.10453264168855e-103,8.79516224451537e-102
"GBP4",4.37998568872874,3.24955575588779,753.982510208551,1.35660731023945e-103,1.07523690515275e-101
"KIAA1462",3.12200737944049,6.0904689996433,916.965896290637,2.15937509873796e-103,1.70361758941907e-101
"BCAM",4.00169549089785,3.49966055245924,758.285915644051,3.82354481317736e-103,3.00271042209158e-101
