"","logFC","logCPM","F","PValue","FDR"
"CUTA",0.526894130999116,6.34759977437639,37.5336160131493,2.1026025597978e-09,7.84751598511844e-09
"PBX4",-1.13142355204688,4.58915099711942,37.3239776722091,2.12801931602287e-09,7.9406474913495e-09
"CCDC152",1.06452438304198,3.6466973189796,37.229900429724,2.14705174960005e-09,8.00992066967811e-09
"SLC9A8",0.612595967886634,5.30746402232282,37.4644258940592,2.15781923859756e-09,8.04833668078217e-09
"GPR85",-0.984030709703237,5.5630378825164,37.7540189308968,2.17052550806771e-09,8.09396573690246e-09
"TMEM145",-1.01104479217443,5.51140768932491,37.4528245880102,2.17403531609545e-09,8.10528846070428e-09
"ACAA2",1.29211738927148,2.72040735572086,37.069343438952,2.18869943380126e-09,8.15818295377259e-09
"CBWD3",-1.1020550233871,5.2454352226875,37.2341460023971,2.19607204676617e-09,8.18388189826663e-09
"ZNF559-ZNF177",0.808700317953652,4.43062891085033,37.2693057945509,2.19817272819147e-09,8.18992755313121e-09
"ADI1",0.747815125456328,4.4546198827406,37.2724347063715,2.20934461591749e-09,8.22976062326096e-09
"ASIC1",0.758745308083912,5.12718781832459,37.3502361337488,2.23762285540402e-09,8.33328329008413e-09
"ZNF649",1.21216404798966,3.02251837479943,37.0850456659784,2.26973113786414e-09,8.45102154855026e-09
"IER5",-1.39415227658841,4.43358107198195,37.3094271796594,2.27412554724321e-09,8.46554237199472e-09
"FHL2",-1.02247939579394,5.40146845888208,37.1790994932817,2.27514853304792e-09,8.46750932299572e-09
"ATP2A2",-0.56133332187047,8.27460579983296,37.5141070477746,2.28734399063067e-09,8.51104740699783e-09
"LPPR2",-0.736008543864911,5.97685926718057,37.379573201375,2.29486960515451e-09,8.53719418519017e-09
"TUBB2A",-0.872138323286298,8.5931678962226,37.9956685776901,2.34069686453571e-09,8.70578542708048e-09
"GGA1",0.56352509451708,5.63059226035191,37.333713207167,2.36835798456597e-09,8.80675254034958e-09
"HES4",-1.29919149440741,5.35385745613762,37.5495002821848,2.37082752253548e-09,8.81402110440986e-09
"OPRD1",-1.07858732161502,5.09191968860749,37.0339994865702,2.37849086520316e-09,8.84059131834087e-09
"FAM91A1",0.598073455870619,5.29211397001462,37.2685004834254,2.40819896384559e-09,8.94907016736194e-09
"WDR46",-0.952882157466808,4.87196451249753,37.1042750051728,2.44647783237209e-09,9.08934472443796e-09
"RIOK3",0.592541956093397,5.83011438560262,37.2598460184439,2.45382664108292e-09,9.1146695802429e-09
"IFITM10",-1.37629773220527,4.3692729398831,36.9703324421359,2.48131989427028e-09,9.21479318653083e-09
"METTL14",0.609945075665221,5.18849826467561,37.0763704805794,2.54135011524069e-09,9.43567858879217e-09
"MGME1",0.899410134812703,3.69534098211569,36.8701521399968,2.5465988817797e-09,9.45311640417788e-09
"LIMD2",-1.24533160785031,4.63450293419169,36.8057343797247,2.5778650651517e-09,9.56710381864233e-09
"C11orf95",-1.56752942405445,3.4936921804446,36.7568278098373,2.58468095354457e-09,9.59032031310859e-09
"FYN",0.489287846709159,8.03320334893267,37.1810058210378,2.64153599989614e-09,9.79915413179239e-09
"CDH23",0.909580664613979,4.32290017659,37.0516721834251,2.71676588669062e-09,1.00760467894591e-08
"LRP12",-0.662532501876444,6.18948631659027,37.0472720128647,2.73347983210485e-09,1.01358403131113e-08
"CHMP2B",0.647060420918924,5.10863653025172,36.9437557935901,2.73954912051917e-09,1.01561457218034e-08
"TUBD1",0.726455891124505,4.52144012237459,36.7526826446426,2.78754841691362e-09,1.03318529763068e-08
"NFKBID",-1.88213789230797,3.37739432230531,36.5984640037251,2.802837032897e-09,1.03862705634625e-08
"SCN2B",-0.866159778450454,5.99156988113532,36.9354357274158,2.87834414707048e-09,1.06615078492136e-08
"RASL10A",-1.20662501070866,5.05657127007381,36.8726692027328,2.87835801863699e-09,1.06615078492136e-08
"GLT8D2",-1.13728139172544,4.63813603004938,36.6016059251031,2.88991202599414e-09,1.07019887270213e-08
"MS4A18",2.13633724606304,1.94700734124099,36.8628091353652,2.92422697710986e-09,1.08267227180192e-08
"TSPYL1",-0.826116934120837,7.67270553373264,37.4670689274494,2.95201616139524e-09,1.09272468503971e-08
"AIMP1",0.649305960497344,5.13846671317114,36.7376583763382,2.95719651291482e-09,1.0944056269153e-08
"THSD7B",-1.31170270318744,6.4960768072404,37.0560678386686,2.97134454764878e-09,1.09940390438183e-08
"ASH1L",0.411351191162023,8.60491203181824,36.9431555018153,2.98467387399182e-09,1.1040971634127e-08
"HERC1",-0.437353483935965,8.76739241087535,36.8681264074986,3.09272156532858e-09,1.14381925250433e-08
"STK32C",-0.687390784907047,5.78624145614696,36.742947834454,3.10188705199401e-09,1.14696125983018e-08
"HSD17B6",1.05186981210011,3.39970117564408,36.5290506014108,3.10502457089569e-09,1.14787347557189e-08
"MAP3K3",0.517664018995183,6.05570110995986,36.7071372148237,3.13173790782713e-09,1.15749898493093e-08
"ADAMTS3",-1.26038085394447,5.49662692223628,36.6560804032706,3.13758281675249e-09,1.1594009337347e-08
"NFIC",0.521640728981433,6.61369606734805,36.8246084416504,3.13823827507394e-09,1.1594009337347e-08
"TMEM132E",-2.28171534637319,3.5189515662677,36.4587674447135,3.14684125191194e-09,1.16232841926068e-08
"CLDN9",2.31666955363292,1.86987539000295,37.1221465774243,3.17199026505193e-09,1.17136482609338e-08
"AP000304.12",-0.786648554070081,6.16782289946698,36.7094608985441,3.22897854138916e-09,1.19215252595606e-08
"LYN",-1.17822806826718,4.98455619144606,36.7039408217445,3.2380845839569e-09,1.19525675026611e-08
"SF3B5",0.66925006131912,4.97190895366391,36.5392480491975,3.26573769538562e-09,1.20520434026734e-08
"FXYD7",-0.828887368263395,6.78790628714625,37.0157921072989,3.28007230684609e-09,1.21023357528459e-08
"ABCA7",-1.00981439259421,4.75549575418506,36.4103528940194,3.30402350523343e-09,1.21880806743366e-08
"RNF182",-1.83411799087976,4.01225413519289,36.2134321875869,3.33882993422237e-09,1.23138234540903e-08
"TRPV3",1.16587491178361,3.30862895153524,36.3164521633879,3.35317534044891e-09,1.23640667302359e-08
"ZNF490",0.614340042145169,5.35994122777421,36.4305553900571,3.3859586061891e-09,1.24822591167006e-08
"PIGH",0.768437932059495,4.53681416770224,36.3220643059913,3.40336319111402e-09,1.25437196624052e-08
"GCNT1",-1.26342991142142,4.48440458426136,36.2823017392184,3.40834466470909e-09,1.25593759491648e-08
"TCF20",0.467074702098818,6.77777322536139,36.6086904260301,3.41048206148947e-09,1.25645476420701e-08
"UPP1",-1.08835935137913,5.06737939742935,36.418470695058,3.44091019343994e-09,1.26739205059578e-08
"TRAK2",-0.535791320221836,6.64203418459198,36.5738885816993,3.48898323508089e-09,1.28482239158066e-08
"ERG",-1.44266572051007,5.08489963257791,36.5225752492666,3.50038317006578e-09,1.28874322304357e-08
"SLK",0.506977164217951,5.95200786744092,36.5469098767286,3.51090938824954e-09,1.29234075955347e-08
"NTAN1",-1.05604654715947,4.45752808249055,36.2385458747456,3.52346259396871e-09,1.29668270870044e-08
"DYRK3",-1.57200629170212,3.77173593858251,36.088797037748,3.52466743073388e-09,1.29684733320791e-08
"RBM14-RBM4",0.710253283996789,4.83697708846107,36.3403741725349,3.54223004416442e-09,1.30302918685206e-08
"PGGT1B",0.637365180282762,5.03332008195381,36.2944725013496,3.62046379048213e-09,1.33152180651029e-08
"SLITRK3",-2.28932326504565,4.28867637782936,36.2731690091196,3.64556112668407e-09,1.3404640568907e-08
"CLN5",0.809369435214073,4.1324508382134,36.1346587758424,3.68182668510502e-09,1.35350811357092e-08
"PAFAH2",0.874482202265153,4.02693240093519,36.0755013255306,3.72970256018451e-09,1.37081382203432e-08
"PHF7",0.812599890645059,4.25483905622596,36.0517966134951,3.81822787799489e-09,1.40304917946496e-08
"RASGRF1",0.533372347877267,7.16477288056024,36.2881169877074,3.84009469334408e-09,1.41078156974358e-08
"OXCT1",-0.55137833051839,6.82461372600113,36.3416443564309,3.85039409950631e-09,1.41426189623574e-08
"RP11-192H23.4",-0.846712237268706,5.02575491744594,36.077846100283,3.86758036043526e-09,1.42026975055023e-08
"SH2D6",1.83613544491678,2.34945014917266,36.111389658978,3.88055989222752e-09,1.42473054589181e-08
"TRAPPC2L",0.697990276490112,4.96611616454356,36.1440453407739,3.90802179682602e-09,1.43450542799446e-08
"ARID5B",0.57433005199272,7.58199637762384,36.7463894743811,3.91787922740956e-09,1.43781548495716e-08
"CCT2",-0.637242648800219,6.00525605517048,36.2158570754238,3.94039224417518e-09,1.44576757866007e-08
"KIF5C",0.455028384334166,8.4104520874049,36.298192902698,3.97478161725724e-09,1.45807287952526e-08
"MRPL52",0.727921834639144,4.47910633215498,36.022016887438,3.99421707750376e-09,1.46488852542554e-08
"FAM107A",-1.31844491366052,4.99436784239428,36.3828211554468,4.02986774037141e-09,1.4776469418539e-08
"TIAM2",-0.503791315093312,7.499863619517,36.2890269769543,4.04641931379189e-09,1.48339825807531e-08
"VDAC2",-0.684912732209245,6.16693064119265,36.1478090539407,4.04884088030254e-09,1.48396822673474e-08
"HADHB",0.571982568180553,5.84742439865269,36.1404743489637,4.08442651390242e-09,1.49669053762862e-08
"YIPF4",0.482378733660525,6.45794800269512,36.2075685057052,4.14690065281109e-09,1.51925827468705e-08
"FAM57B",-1.13011704718244,4.67645266987709,35.9340843928539,4.15249346710465e-09,1.52098177485733e-08
