,sum_sq,df,F,PR(>F),p_val_adj
ROGDI,4.566178621127012,12.0,0.719216275086798,0.727717868838438,0.7926987640425829
ROMO1,15.781907605449934,12.0,1.7216116747827754,0.0811844764839023,0.16616040677778174
RORA,15.07271227435303,12.0,2.0863569905271473,0.029309661014163307,0.07882107436285506
RORB,5.682599234654197,12.0,1.8745865531841934,0.05330048011073794,0.12199622691018516
RP2,7.589678833064121,12.0,0.9382246972993746,0.5150673170612766,0.6172227818193955
RP9,12.334165261873995,12.0,1.1283618973548106,0.35270158952927055,0.47245799190944476
RPA2,24.611834096432627,12.0,3.394986412742425,0.000640916144444594,0.00471370276201743
RPA3,10.10122724812588,12.0,1.0021720516473265,0.45669660225027486,0.5654120249569162
RPAIN,8.240157004769955,12.0,1.0058785726282515,0.45341782183941776,0.5626429154839084
RPAP1,8.858965475009589,12.0,0.8379330544667477,0.6117175823715575,0.6977120181488587
RPAP2,12.389832503496537,12.0,1.3113309482910231,0.23274715725039372,0.3521221439544199
RPAP3,10.648629634401672,12.0,1.1434848257857493,0.3413706864538381,0.46152758166324775
RPF2,17.55888082817629,12.0,1.8041601593194123,0.06478336905872958,0.14025987827246225
RPGRIP1L,7.903164481402441,12.0,0.7262053336708458,0.7210228597447057,0.7878460297293521
RPH3A,23.757969808406354,12.0,3.088834311589713,0.001568068307927488,0.009196670687513573
RPIA,15.366759859527921,12.0,2.1714299747467414,0.022963924419911873,0.0668470484103184
RPL10,5.330067474774549,12.0,1.7899078912983464,0.06737382997713855,0.14443003824493134
RPL10A,4.447806897324171,12.0,1.3402109458206433,0.21716307696912737,0.33511607386152586
RPL12,8.755108631865577,12.0,3.6127796496858946,0.0003408181869258757,0.0029100000998825578
RPL13,2.903419760548452,12.0,1.1322065220813131,0.3497969945856388,0.4695918830944105
RPL15,6.176608019340371,12.0,1.4440316075891426,0.16809330464546943,0.27924431854159215
RPL18,9.054853914307031,12.0,3.9150848702972283,0.00014309902790938622,0.0015007469806260002
RPL19,4.267672997701244,12.0,1.606901169076913,0.11038517237121678,0.2074763558265287
RPL22,2.125746551682091,12.0,0.834370453668294,0.6152169130672032,0.6999435334442643
