,sum_sq,df,F,PR(>F),p_val_adj
MBD5,10.070465656862059,12.0,0.9606703882757303,0.4942132759833163,0.5982274017686836
EPC2,11.740256413429664,12.0,1.1305412682687994,0.3510530821285867,0.4709966267045352
KIF5C,22.221954951948447,12.0,5.024355448181461,6.608693411335594e-06,0.0001452335296696376
LYPD6B,33.42850246371648,12.0,6.093720758957843,4.084715387785059e-07,1.677856265715457e-05
LYPD6,19.16007330211516,12.0,2.5918775178578284,0.006750916579750246,0.027180778253756126
MMADHC,4.772282724159899,12.0,0.48171790034058276,0.9187476885061879,0.9383028687735995
RND3,23.613385576284287,12.0,3.5098316033033785,0.0004591039004928995,0.003650629288202607
RIF1,6.414590710241232,12.0,0.8263758476470073,0.6230763957903731,0.7066634689004667
ARL5A,4.927390307057045,12.0,0.4661139793552373,0.9276232203181807,0.944966767639098
CACNB4,10.570819082580577,12.0,1.6642016639648356,0.09477427941332779,0.18603316240416165
STAM2,11.910882576716142,12.0,1.5041546630394034,0.14427189311536587,0.25065199845401676
FMNL2,9.226238694086916,12.0,2.693888745121376,0.005003576967305389,0.02170180721382384
PRPF40A,4.963544507300879,12.0,0.7873328944608137,0.6614974414796299,0.7378641358139832
ARL6IP6,11.612196413235575,12.0,1.393598693957739,0.1906126522675261,0.30540478546709243
RPRM,19.545803327078207,12.0,5.289970355676471,3.254617233546063e-06,8.371093711310657e-05
KCNJ3,18.062039643388417,12.0,2.1304541430975052,0.025833362216468186,0.07263316008831727
NR4A2,5.334595658467463,12.0,3.1735542909207974,0.0012233682941182487,0.007694518614918602
GPD2,6.9465245862169995,12.0,1.505318873847014,0.1438413397420049,0.25031151114992606
ERMN,10.406227577029831,12.0,3.6397415595245497,0.00031529607193394915,0.002757118927224885
ACVR1,5.62652333302388,12.0,0.47728269235264215,0.9213272218756432,0.9403215538717493
PKP4,15.580486281444323,12.0,2.7768048414156254,0.0039214416329184185,0.018054317277956398
WDSUB1,9.947602815727109,12.0,1.1604070615003013,0.32899317456540683,0.4508660740286152
BAZ2B,3.7763362017248254,12.0,0.6806859494404401,0.763977317603272,0.819905193419203
MARCHF7,9.03975054935738,12.0,0.8197369696781754,0.629608449774323,0.7115136906760129
RBMS1,15.47746594134331,12.0,1.6429827360648612,0.10030404167150254,0.19391131969582098
TANK,12.72804445261863,12.0,1.7052998308844163,0.08485061758697512,0.17145150027229908
PSMD14,16.724706243707047,12.0,1.9963896386497983,0.03785676940259435,0.09547026681120371
TBR1,3.579858019896616,12.0,3.2871445602649136,0.0008776631943299369,0.006026489704243146
SLC4A10,15.236693962668111,12.0,3.8791057423206077,0.00015857520436912128,0.0016219880775794838
GCA,28.021922855387693,12.0,5.132031159006938,4.952556671660796e-06,0.00011723172707622779
GRB14,22.426610963194644,12.0,4.173231538256893,6.884137006948744e-05,0.0008631086145929811
SCN3A,13.539625738571646,12.0,1.7194322865487306,0.08166567846471941,0.16684658693213586
SCN2A,6.67286848754174,12.0,1.4047642661741746,0.1854181501998694,0.3000580539614055
CSRNP3,16.282406530413148,12.0,1.87180414211504,0.05371510981074927,0.12264039948856416
TTC21B,9.86733001200782,12.0,0.9227904724121028,0.5296087140231877,0.6297310225626952
SCN1A,4.4343956472960935,12.0,0.4636202932825208,0.9289896247808678,0.945940115557031
SCN9A,14.488795023999723,12.0,1.70140907662672,0.08574736451438388,0.1728841104551011
B3GALT1,15.959242932242027,12.0,2.9921716577916104,0.002082386637223671,0.011292471234131662
STK39,4.861761420804606,12.0,1.2826779663969925,0.2490862142638867,0.3692780326745884
CERS6,7.677911221655876,12.0,0.8637794698056792,0.5864149251238882,0.67750421964125
KLHL41,25.344393213076902,12.0,3.282707925810491,0.000889105952807807,0.006073358763690123
FASTKD1,9.133568479512324,12.0,0.9245400953943346,0.5279526217566302,0.628248609606494
PPIG,5.898993713134278,12.0,0.8614290285201252,0.5887083158810644,0.67917788632582
CCDC173,16.224400604045147,12.0,3.030925741069589,0.0018584399973558174,0.010359421536464842
PHOSPHO2,13.208115800958202,12.0,1.310544458648288,0.23318388265294182,0.35257096740037575
KLHL23,7.471217123537017,12.0,2.2370931910136433,0.0190007243818422,0.057990941368247596
METTL5,29.92123671394473,12.0,4.741815937001196,1.4211052431265997e-05,0.00025963367219662166
UBR3,23.168902094545814,12.0,3.7798845300730863,0.000210666962084969,0.002033355751444858
ERICH2,28.94447116706961,12.0,3.9974862796478576,0.0001131805126130862,0.001263231709262179
GAD1,20.141240940274177,12.0,4.289329429542174,4.968729575670673e-05,0.0006808342549520172
GORASP2,11.61519659115532,12.0,1.1240147274429837,0.35600548618456185,0.4752833405624107
TLK1,24.43529987664296,12.0,3.470826576273797,0.0005141124049936563,0.003964779753083406
DCAF17,18.513418161646253,12.0,1.9322946885652412,0.0453554536079456,0.10825117076774575
CYBRD1,3.4431729769021717,12.0,1.012563433300213,0.44753589827452256,0.5572473871906207
DYNC1I2,19.216284099232276,12.0,2.5280266046820024,0.008140682752305365,0.031243468595834385
SLC25A12,9.720556633063035,12.0,1.7878410114772496,0.06775745506377107,0.14498066450139363
HAT1,6.777573397537937,12.0,1.0028508796469422,0.4560951895788058,0.5649346927147758
DLX1,3.728590973617488,12.0,1.7546706651956059,0.07420006655353797,0.15535111705888532
DLX2,12.298057578329844,12.0,4.2065923956402305,6.267200168883658e-05,0.000809374181698187
ITGA6,7.493061542141824,12.0,1.7895595227566874,0.06743834651574215,0.14447936126499622
RAPGEF4,12.309668909532503,12.0,2.360218076152977,0.013291550875306072,0.04466737243059062
SP3,7.8280078554632855,12.0,0.6746987303232724,0.769494675592153,0.8238961596340169
OLA1,13.675888701782162,12.0,1.9494863108322322,0.04321548736785114,0.10466009312472521
SP9,22.71662208207072,12.0,4.262809884307274,5.3520104540170034e-05,0.0007173407898193386
CIR1,7.177809555209057,12.0,0.8603863262071177,0.5897262715532576,0.6800500323684905
SCRN3,24.991268150543892,12.0,3.0393080223856805,0.0018132774807497081,0.01016810586089392
GPR155,11.075111467506826,12.0,2.389783534731074,0.012194457130015119,0.04185643404146719
CHN1,11.38130798221588,12.0,3.3905942363730843,0.000649162081632654,0.004762935814879266
ATF2,16.45086740814874,12.0,2.292066028107509,0.016203621204375053,0.05187863144989065
ATP5MC3,17.08985458525293,12.0,3.0774526989611597,0.001621292178485702,0.009406968103022271
LNPK,24.73299597287206,12.0,3.273317053513886,0.0009138255272750721,0.006164971656428557
MTX2,5.483049762440896,12.0,1.2829504952662443,0.24892662798354287,0.36921170539246717
HNRNPA3,19.040034456575693,12.0,2.6491295017061836,0.005706630960339976,0.02397201545748654
NFE2L2,1.1615024369699902,12.0,0.3894152540535282,0.962969904013972,0.9730085456118353
AGPS,15.159290673216784,12.0,2.181725039489978,0.02229320104348633,0.0653744570727459
RBM45,9.562837546201107,12.0,0.9361246425180232,0.5170366837536122,0.6187774608790306
OSBPL6,13.889459069412679,12.0,1.5206971579836797,0.13825923299185539,0.24336644835564963
PRKRA,7.552405176465734,12.0,1.0323967369645013,0.43032989602710586,0.5422288723032225
FKBP7,18.221690526473903,12.0,2.7659354586087885,0.004048762026468402,0.018465082090005473
PLEKHA3,11.814891524922887,12.0,1.2911909747332093,0.24413929630220252,0.36387741022186476
