"","logFC.spline_1.human","logFC.spline_2.human","logFC.spline_3.human","logCPM","F","PValue"
"FGD4",0.188582579699833,-0.179053332329092,0.0515308518328246,8.92303293858991,0.618250456587567,0.605125649658212
"FGF1",-0.166114122225654,0.130198234346562,0.395715865538708,8.75135536223905,0.784875936755817,0.511858791952088
"FGF12",-0.175209665688481,0.333757892606761,-0.361733675794931,9.31851361933949,0.0596943403179716,0.980677044883181
"FGF13",0.0634103081683991,-0.397593442472283,0.0311371630423029,9.38339693108285,1.16623546802966,0.32680983370084
"FGF14",-0.648202840772239,-0.839648204395533,-0.165433361917416,8.96238448548414,0.0951984219322897,0.962383803672496
"FGF9",-0.751298971924705,-1.2808822235667,-0.37239095038306,8.79033951622391,6.86347916597548,0.000609725992029317
"FGFBP3",0.0540924157581198,-0.413324178075566,-0.112023289451938,8.79736608731512,0.201584751469102,0.894806243693845
"FGFR1",-0.153009784680185,0.29600022555697,0.044170091579597,8.75327070245971,0.201009094868445,0.894893196357505
"FGFR1OP2",-0.00240286341500019,-0.238573999690804,-0.0182974136767196,8.8190966915337,0.192931894437,0.900834125542225
"FGFR2",0.0355086200246108,-0.0317967134843893,0.361099929348267,8.79004099522172,1.27381623419246,0.293866972714236
"FGFR3",-0.178379394185839,-0.21534426283276,0.0119330485170181,8.8218256835491,0.631166193004716,0.597797760946745
"FH",0.0133064586632765,-0.295658425478442,-0.195895328733122,8.8876205750887,1.03266480574418,0.383181145386257
"FHL1",-0.189452652276428,-0.277077468645916,-0.181144479086148,9.55492036032477,2.73896839106673,0.0481665788996675
"FHL2",-0.127877197652757,-1.47500561495523,0.316310188405895,8.7606883788901,2.99769523097267,0.0436906805677264
"FHL3",-0.0845382481233989,0.518420825221325,0.193285351763566,8.79629052117184,0.537103994984861,0.658971800107984
"FHOD3",-0.128328519480582,0.263165907696946,-0.195189685658751,8.82979878960352,0.338813205968467,0.797323101538398
"FIBP",-0.050561053425049,0.359403260064919,0.00390584250711693,9.06209473970155,1.12193844914902,0.343732252351853
"FIG4",-0.146882703659783,-0.25958847044136,-0.0163006081388483,8.80037340637421,0.279375176972408,0.840043893271507
"FITM2",0.271969491296701,0.30018812972872,0.245682784464789,8.7505355770473,0.259740290239023,0.853852352441179
"FIZ1",-0.0503587678140738,0.128021472581236,0.100629247100498,8.76757568949066,0.132368870710193,0.940209279732999
"FJX1",0.382855717055391,-0.262261275774125,-1.35163949847409,8.94249402188903,0.0732917414830385,0.97399357443303
"FKBP1A",0.0566718040516644,-0.0969565714356179,0.0134825572564197,9.54091897956624,0.296189001202895,0.828059910473493
"FKBP1B",0.179464055951667,0.224805843211704,0.195595040752385,9.42351917783805,1.09859090550321,0.353690951902817
"FKBP2",-0.481449562514867,-0.683989543587446,-0.134945320558808,8.88367363398157,4.12510556653533,0.00966351561786919
"FKBP3",-0.19598536362434,-0.664103232652671,0.0863259447686646,9.35708730309425,4.81950013565135,0.00360436365134413
"FKBP4",-0.108876127620925,-0.650053767295623,-0.19395064514943,9.00247971792062,2.39602256655978,0.072874736612515
"FKBP8",-0.160921238699938,0.0486702421520924,-0.122970725464296,9.57812312045348,2.3754544117693,0.0751744992339371
"FKBP9",-0.0797531527929472,0.399353755612026,0.173185544189149,8.82982843444912,0.446945112242589,0.72026160875969
"FKRP",0.122151330918687,-0.293883199163369,0.0911213855227302,8.73387017854292,0.79636305337113,0.507255521204094
"FKTN",-0.145001096844055,-0.720277196453421,-0.0524167936638483,8.75708405661301,0.16781708785036,0.917402648126415
"FLAD1",0.0438169384294827,-0.522615062824977,-0.271441911576649,8.80587036172806,1.09910189539642,0.357255663423483
"FLII",-0.361189310858139,-0.927679445738427,-0.253570239142695,8.84533017251446,4.18015949873719,0.00877071481406584
"FLNA",0.169348932192484,1.00195486050864,-0.0623883032568184,8.84896301708316,3.10825359191671,0.0317541861627948
"FLOT1",0.0853755209320787,-0.0879948339692957,0.0365577729404444,9.23353920524309,0.428415799387293,0.733073967132933
"FLRT2",0.301368274685821,-0.326142690014331,-0.350384525498885,8.96190828104557,0.0333605127711161,0.991734819620694
"FLRT3",0.355046659837794,1.11200256231689,-0.330952239206579,8.78271134132823,0.0734263752640844,0.973922439432406
"FLVCR1",-0.242359893944313,-0.21768891559585,0.000494567074069908,8.81220497113465,0.38590246161984,0.763590737847579
"FLYWCH1",-0.181198346329095,-0.361877339952061,-0.135714071790424,8.84136569865048,0.680081449000881,0.56749994093253
"FLYWCH2",-0.14621085401684,-0.676826373547048,-0.0826985024086773,8.97666097557395,2.75186680352985,0.0469585660123082
"FMC1-LUC7L2",0.0939751743089197,0.149296144925701,0.0132316773913752,8.80673799241512,1.31170868092551,0.281030063592559
"FMNL1",-0.129440199104123,-0.129001690433754,0.165008349422765,8.83943576097854,0.343307969527271,0.794073747541904
"FMNL2",0.363589182240332,-0.189031560163056,0.0317911911870358,8.98126274787561,2.80028277278646,0.0435836625084582
"FMR1",0.191521272485902,-0.463367864570638,-0.131669141048841,9.00472059024528,1.68220192528691,0.175356595485537
