"","logFC.spline_1.macaque","logFC.spline_2.macaque","logFC.spline_3.macaque","logCPM","F","PValue"
"SFXN1",0.0406060191711276,0.117654949052729,-0.0119862548722632,9.34551070486608,0.128617712060224,0.942892317122694
"SFXN3",-0.0257093260868031,0.242879214544994,-0.179041118961223,9.23951041629045,2.63748353417033,0.0566067066340962
"SFXN5",-0.123876995753177,-0.286419473169337,-0.336704600649009,9.23003497938427,0.901199540014198,0.444760463173524
"SGCE",-0.234822408192901,0.453969188955831,0.356593482777784,9.25317956211071,1.72367089351936,0.168564753799334
"SGIP1",0.120949532720321,0.339193989621388,-0.169367953056781,9.16628043667447,1.05533888315933,0.376403871643213
"SGK1",-0.389787843198231,-0.00915903958420108,0.78379887703802,9.1856068933858,12.3072046840909,1.45091695390347e-06
"SGMS1",0.0461552224355256,-0.0754732448843762,0.427852527174923,9.09378603446193,0.151418265048525,0.928086386946158
"SGPL1",0.0404677281585836,0.414827485209182,0.310406012501964,9.11298734326081,1.00404582596835,0.401153601968156
"SGPP1",-0.0373346345039865,-0.419528304338728,-0.118665239304764,9.13930153895993,0.0805729684651615,0.970254767411724
"SGSM1",0.432533181270314,0.269855552960199,0.151622740349232,9.11098046137266,0.0656005656571226,0.977798472652475
"SGSM2",0.279204661714284,0.276199042054266,0.0372519385594306,9.23294825739872,0.753585600305267,0.525057425545504
"SGSM3",0.18444810917652,-0.0311472336882075,-0.293187317353403,9.29303015134147,2.43675440659406,0.0701214198208129
"SGTA",-0.191026705647536,0.142365231869202,0.113946514064201,9.4742236437927,1.46961080253411,0.227789791400054
"SGTB",-0.121947165922043,-0.983124594698777,-0.04189653598814,9.20347488348478,0.401838049145139,0.752211202873879
"SH2B2",-0.0188880107691072,-0.329163178988862,0.168758760295989,9.1030167332085,0.737203112927068,0.536975864317708
"SH2D3C",0.115856415595858,-0.625982840635345,-0.178705729790442,9.13275855700925,1.08621204668048,0.363923268768459
"SH3BGRL",-0.252103903552846,-0.302409820703736,0.382602265233423,9.46136958718541,8.15476475719607,6.47027087897343e-05
"SH3BGRL2",-0.0444626145404929,0.271477298626863,0.00739048698177731,9.10906269423575,0.147763588831969,0.930491969728735
"SH3BP2",0.152652225052294,-0.163503868069964,0.138143935737482,9.14694971282831,1.24001964927744,0.304658305161061
"SH3BP5",0.222564904510432,-0.0612556887210255,0.14409566257513,9.47609862358135,0.77466973329887,0.511195283259226
"SH3BP5L",0.212652394031984,-0.380112692872948,-0.332119407433852,9.14845025600605,1.97078780064856,0.129441170350355
"SH3D19",0.0666154341369204,0.243769820953979,0.279143087707873,9.06880593015781,0.959161414714547,0.428464256482039
"SH3GL1",0.182963533794414,0.127008810478806,-0.146112684990448,9.3314883889557,1.26935621096654,0.289523532299369
"SH3GL2",1.49134012443745,1.49591484084,0.205265231496102,9.49515838440137,1.11866915835411,0.350470234241301
"SH3GL3",-0.060377713159656,1.25080806172081,0.442737462017695,9.31048060084033,0.253409038216934,0.85851873647815
"SH3GLB1",-0.214625580631868,-0.0328533703407145,0.57212104863033,9.36219618812498,9.90087117252369,9.28027900321738e-06
"SH3GLB2",0.197233623615041,-0.211957787376516,-0.328356061131167,9.70355575429988,3.75127536201206,0.0137446694978058
"SH3KBP1",-0.374774533558002,0.0873663074469018,-0.275176094399383,9.22410613843388,3.86004722364995,0.0125022107099124
"SH3PXD2A",-0.0861606181634679,0.0402776943066959,-0.144378742235846,9.03735972354946,0.182226909674617,0.906636757338289
"SH3PXD2B",0.312579329706447,0.00497067803331428,0.563484786572802,9.09194040083906,0.048314520524896,0.985656719940904
"SH3RF3",-0.0674647213753698,-0.0495902590561054,0.0242191620456238,9.03288505415717,0.0825626983169021,0.968301942175837
"SH3YL1",0.027421369423308,0.30903099658948,-0.0129592433661204,9.06758679294394,0.401608315542678,0.753128680273997
"SHANK2",-0.00414126234877754,-0.0644694347601265,-0.0142570833550953,9.03078117854377,0.0287703562079874,0.993073815466648
"SHANK3",0.0086563771106225,-0.0676784438283262,-0.0788454856537636,9.0292803576471,0.798446047968689,0.518463482349066
"SHARPIN",0.0852135663091622,0.30435651268414,0.14725761199363,9.13662054554837,0.31883958070891,0.811686791801973
"SHC3",-0.295780989940151,-0.899199729164033,-0.7489051733785,9.20117425716102,0.505416905778373,0.680345538257088
"SHF",0.146137645599343,-0.906381497754145,0.137869583465581,9.18242784456079,5.65752000909217,0.00172230091065069
"SHFL",0.252190284831291,0.292921142683821,0.00897377000159284,9.13938639153567,1.07550944973882,0.368160283133994
"SHISA4",-0.57459949715625,0.254915237384912,0.183848234040195,9.5650209179205,9.10198274579557,2.4825409668612e-05
"SHISA5",0.107692946609698,0.243233473638843,-0.0806016002660217,9.43405384791645,0.973912962518834,0.40855082683941
"SHISA6",0.00340543028077097,-0.0465415953399169,-0.00584988079714894,9.0287457343336,0.208065947095519,0.888824342068766
"SHISA9",-0.0609766079025015,-0.772455037805627,0.0235295103867015,9.10189808600272,0.222770876275997,0.879955394688957
"SHMT2",-0.0813480766527621,-0.0210050808498191,-0.0249138009834341,9.12879267374009,0.0542302721221296,0.983160754993981
"SHOC2",0.166172120806714,-0.160903338081362,-0.468921345523385,9.44566089555098,4.17025653892698,0.00807132644879176
"SHROOM2",-0.166700390324697,-0.00174975493024139,-0.283295031378799,9.08828907755858,0.247781243222545,0.862307405193141
"SHTN1",0.135227402931343,0.119915165483908,0.167535969638645,9.59383106458366,0.880464044475721,0.454282162531209
"SIAE",0.0812424251922859,0.641308512888227,-0.139443948401741,9.16718452560328,2.40692606158272,0.0763132344324692
"SIAH1",-0.00642601445865975,0.0348158018730778,-0.0574288571287394,9.19809387738885,0.0907391928131726,0.96491407786367
"SIAH2",-0.163103138472592,-0.227344292163513,-0.236377132760408,9.24318221966461,1.88649440785239,0.138862448535973
"SIAH3",-0.298783036657923,-0.254372177280337,-0.124374094577861,9.0518379921543,0.985145706767307,0.423130550763807
"SIDT2",0.172761782133886,-0.0324802894902408,0.0192447877972226,9.19420794275604,0.368123759262605,0.776227323807671
"SIGMAR1",-0.0300613012292576,0.676258299453729,0.362628501601535,9.2366706665801,2.15124014862132,0.100203172096852
"SIK2",0.0897886872592743,0.209437245091197,0.0378270423785705,9.08414705364994,0.150557002030435,0.928447291889149
"SIK3",0.00593510722517792,0.109987984070867,0.173034530000775,9.03965905160195,0.0278057534110055,0.993460289008048
"SIKE1",0.252067013485667,0.241676549076046,0.171655759241779,9.17947246106454,1.30099277992754,0.281552785021427
"SIL1",0.191612641727393,0.168259394991994,-0.118768389830852,9.10082762661197,0.523286802020112,0.669165710354862
"SIMC1",-0.0297663405831179,-0.162286399732202,-0.12664294944739,9.06070578546551,0.0755537723457353,0.972486318939763
"SIN3A",0.0468215426687982,-0.142440190436704,-0.244869090867015,9.11752406486189,0.68118528955507,0.568547681931618
"SIN3B",-0.0017197433852914,-0.215174420128784,-0.0272481528361437,9.16462772744783,0.783885989072777,0.508482930875042
"SIPA1L1",-0.451651090169961,-0.238527875166934,-0.483078660325807,9.31544353346596,2.56825647765926,0.0608151737846948
"SIPA1L2",-0.0552288757168653,0.250001892469872,-0.0538721624068651,9.12786744254758,0.388456348420348,0.761837699803711
"SIPA1L3",0.136250622507019,0.725475998774575,0.215462023823385,9.07064327285155,0.157595111995179,0.923800906116126
"SIRT1",-0.0925666155560089,0.301000323605706,0.224128300869957,9.07822604113178,0.0780955641622638,0.971345683783778
"SIRT2",0.329167245766152,-0.0140477489824115,-0.496112654696439,9.32811196499018,1.13620946434665,0.345478412808955
"SIRT3",0.281139148989572,-0.0650821078180632,0.0183778556568764,9.11882342162085,0.790537289554476,0.505997824134246
