,human,chimp,macaque
ACTG1,0.190454755461748,0.015592841796117047,5.527499860035286e-05
ACTN2,0.10142816236450629,0.002817093337508033,0.2033526364340787
ACTN4,0.35784707330523613,0.18945031352787656,0.0037219972294781556
ACTR10,0.06472298347182227,0.11106999751394511,0.12243768004691857
ACTR1A,0.016772466309213665,0.2343205605168671,0.47611475597923725
ACTR1B,0.28129813094590117,0.04446363714549741,0.05291942850175502
ACTR3B,0.10027494725894899,0.2688970790856687,0.024782460102578233
ACTR6,0.8225174071374662,0.504396251512043,0.3238791934772553
ACVR1,0.5212084710706866,0.6672725404712327,0.9374419691277246
ACVR1B,0.0004967646767923027,0.014331377983227709,0.23564663978368033
ACVR2A,0.0032444119159666424,0.2112315265394803,0.15419674000215305
ADAL,0.19127125989351604,0.22319932405015594,0.3301747785723143
ADAM10,0.03584215879575163,0.29046741251473635,0.1314912499896414
ADAM11,1.0173344080658325e-08,0.012528361276944603,0.05534316293856006
ADAM15,0.9181505118017975,0.462929426906722,0.36805897038098534
ADAM17,0.15453859556465843,0.21011829911548657,0.24118919946575232
ADAM19,0.6426223051031604,0.11188995718126389,0.005447083949415007
ADAM9,0.11431184899252297,0.341780238853512,0.38746720852990324
ADAR,0.07504155090484263,0.14927578391612575,0.637235690669697
ADCK1,0.8969064412985195,0.6172067499702847,0.18565881493438377
ADCY3,0.25830377294805973,0.18363680111256828,0.48361007720931215
ADCY8,0.08750429025841353,0.051959908658622114,0.007198534713129881
ADD1,0.8296623460659653,0.7708321466008189,0.5798092213190394
ADD3,0.044751500796527656,0.3421784395531448,0.04046349491136874
ADGRB1,0.15067448213562762,0.07874894665553145,6.310295860960281e-05
ADGRB2,0.0002988617185157999,0.012597632236249826,0.07621671875272953
ADGRG1,0.02099557593496036,0.5243534015544346,0.050921915122342364
ADGRL1,0.10869497320580945,0.8711051020091821,0.4723269453060158
ADI1,0.3483638367899443,0.4095251370826769,0.2384134843688012
ADIPOR1,0.1531829513207317,0.6852808269522075,0.09164549043121266
