"","logFC.spline_1.macaque","logFC.spline_2.macaque","logFC.spline_3.macaque","logCPM","F","PValue"
"NCBP1",0.137661659717859,0.167966743752309,-0.180365626895279,8.69482820074879,0.928615150610824,0.433801421829341
"NCBP2",-0.12616589600739,0.430811824940183,-0.355080280153664,8.97928198356926,8.94595698372929,2.67554850081807e-05
"NCDN",-0.0854813443072124,-0.0469024712677544,-0.54499475076548,9.86828260054311,5.50244043665805,0.00173938219952725
"NCEH1",-0.394871189383024,-1.24898419030039,-0.226589330254429,8.71391726326057,1.08322195534717,0.364568781651783
"NCK1",-0.129709642297981,-0.180354459053665,0.133091558450979,8.69644640513908,1.02406284606258,0.390280397011678
"NCK2",-0.355141977367237,-0.203796386727466,0.34448201678944,8.9202466473786,0.0687519174954958,0.976337541499435
"NCKAP1",0.107154938793287,0.348283823945582,-0.0710110598169715,9.6339464969788,2.11728261605653,0.103918615874604
"NCKAP5L",0.0413875688736761,0.0813557758241134,0.0784103610089057,8.65053033933685,0.579249967519861,0.632997132132689
"NCKIPSD",0.189060027505853,0.720284011892251,-0.192427781560014,8.69376396081016,1.64266877671905,0.191672208038223
"NCL",0.196663498310085,0.151938746565374,-0.232317888560597,9.56725393770902,3.5066280509453,0.0185390496813444
"NCLN",0.262183439403689,0.384569039665394,-0.121662090331005,8.75186542107568,1.91701914227237,0.134531941786069
"NCOA1",0.226108035523825,-0.676783757399417,-0.178247845267801,9.24372080171653,2.24922246398572,0.0873580282102359
"NCOA2",0.304458190772606,0.323813154717834,-0.0464603705761653,8.73040092982877,0.200464206377072,0.895672953721601
"NCOA3",0.220897541365453,0.172217746594271,-0.0126223266299499,8.6929484632879,0.613912790086094,0.60921124393431
"NCOA4",0.250254936599772,0.497231337191803,-0.104124461591469,9.00277424439125,6.30301034727582,0.000555539298387674
"NCOA5",0.247063482058175,0.521829130836157,-0.262742227107083,8.7469396561631,3.31732756483024,0.0246476762643814
"NCOA6",-0.326016849151447,-0.759741381597198,-0.0334054782482592,8.83292327992619,2.51673911907097,0.0666741368956787
"NCOA7",0.35067257490433,0.284469419401309,-0.388459534513002,8.98810540831548,5.46978799346142,0.0016249700553976
"NCOR1",0.220691584830497,-0.176150216859698,0.154690162974132,9.05668501842338,1.61490083738984,0.190967344838086
"NCOR2",0.0700305941997779,0.0701511450445411,-0.223084731778989,8.70447260443988,0.761621131068811,0.520673104788999
