,sum_sq,df,F,PR(>F),p_val_adj
ZNF23,0.07648724441518795,12.0,2.8474769185871573,0.0031857856549678738,0.00913285003454053
ZNF236,0.024570895912768672,12.0,1.2380260697423084,0.2763344236059104,0.36727589095889474
ZNF24,0.07916932359150906,12.0,1.456313157182987,0.16296784391834215,0.24036647554062063
ZNF248,0.025730042828393238,12.0,0.6827118084397682,0.7621025249599926,0.8182649311837235
ZNF250,0.00827947558763344,12.0,0.8343552139366436,0.6152318866390427,0.6917039331101716
ZNF251,0.011841998851809034,12.0,0.9697160857478245,0.48591566707584966,0.5746479723942531
ZNF254,0.014746264907024369,12.0,2.053357478417759,0.03220282538256676,0.06371371210199285
ZNF26,0.017047851594046225,12.0,0.7237394338419944,0.7233885125465963,0.785027863704073
ZNF260,0.011060716177115237,12.0,1.571830670044374,0.12105233124451963,0.1892444594396497
ZNF263,0.03879922267373639,12.0,2.2272025813896805,0.019551828255530677,0.04224149098473169
ZNF266,0.008903544571519276,12.0,1.218777263799102,0.2887631067514115,0.38027515814750235
ZNF267,0.014291011099655835,12.0,1.3923456061121033,0.1912031976432984,0.27372497573064236
ZNF268,0.012494453205335003,12.0,1.1674740432463795,0.32391890067097595,0.41639609624156726
ZNF273,0.0036440533395002937,12.0,0.5948833967411155,0.838903493737851,0.8807004184629041
ZNF274,0.013580135824716967,12.0,0.45065321289828525,0.9358614416867901,0.9549437228559357
ZNF276,0.062063219122164864,12.0,2.736519044157877,0.004414421010286305,0.011990557127644925
ZNF277,0.06840670120343045,12.0,2.791533089889489,0.0037552782996191545,0.010491080880732154
ZNF287,0.007458219106219823,12.0,0.6810757313343371,0.76361690695203,0.8192253468314876
ZNF292,0.0689155303825983,12.0,1.043878374489126,0.4205420457860438,0.512422779868753
ZNF3,0.017359623785266762,12.0,0.8222181945954999,0.6271667086024222,0.7029270014645367
ZNF300,0.04797259556636074,12.0,1.282070272697933,0.24944235597983183,0.33908006589629275
ZNF304,0.07309096776235667,12.0,6.837838041638631,6.538533284126261e-08,8.147065558895077e-07
ZNF317,0.021853327711955597,12.0,0.6464669566103457,0.794992703605615,0.8437405272937417
ZNF318,0.0254127057450915,12.0,1.2436380388594481,0.2727886829193566,0.3633554566859009
ZNF319,0.004108943375462765,12.0,0.25346994305068865,0.9940468498706874,0.9970257229036773
ZNF32,0.07941258497925231,12.0,2.5554809548442012,0.007511370281880387,0.018759071753608518
ZNF322,0.011265957268308986,12.0,0.7748299125479868,0.6737721488131481,0.7433613642788722
ZNF326,0.0711303294431649,12.0,1.962169200797694,0.04169890944479354,0.07861661715144531
ZNF330,0.037638612412492584,12.0,1.366305567854421,0.20382662357368464,0.28878835972711003
ZNF331,0.016134066666021032,12.0,2.5020251598097802,0.008784767402479425,0.021427851189941866
ZNF333,0.008997622059783217,12.0,1.8024573558670793,0.06508788299790616,0.11383271161343209
ZNF335,0.023537073530087268,12.0,1.0543616933160689,0.41171930969494736,0.5044054555177055
ZNF337,0.025962586098604905,12.0,1.769730627595364,0.07120726162591552,0.12264804808294615
ZNF33A,0.04995321124805202,12.0,1.3280952804390582,0.22359415097468013,0.31008916919733065
ZNF33B,0.018260514709257596,12.0,0.8389332125668205,0.6107355835519319,0.6881611910604735
ZNF34,0.011756757343055844,12.0,0.7689668338663406,0.6795161841056832,0.7479064096635346
ZNF341,0.02092754991941143,12.0,2.642182102311175,0.005824245174367965,0.015119720768418443
ZNF346,0.08616985252039111,12.0,5.2987929061859145,3.1795490259552025e-06,2.3971539664600135e-05
ZNF350,0.021625215824835425,12.0,1.522943811810496,0.13745992820611688,0.2098012628745109
ZNF354A,0.01775992615057416,12.0,1.5617504386082028,0.12428495424600622,0.19331348964480155
ZNF354C,0.017336284929092394,12.0,0.6514446538473353,0.7905636349530752,0.8406871406222332
ZNF358,0.12607862431050132,12.0,1.8392873279129727,0.058792245676348706,0.10481297157556997
ZNF362,0.0505273644046255,12.0,2.115624409153361,0.026955299886969993,0.05519332918817427
ZNF365,0.07854699511656783,12.0,1.7592158006209788,0.07328470919181264,0.12566212332182697
ZNF37A,0.02474170932229037,12.0,1.3056725982131625,0.23590385587807755,0.3242093589440803
ZNF382,0.02185946454487606,12.0,2.454480465107846,0.010095610969644968,0.024115983420227503
ZNF384,0.06688958343139446,12.0,2.0699603132678894,0.030714342051013033,0.06140520858879072
ZNF385A,0.11837506545668326,12.0,2.923276994004555,0.0025495173200892813,0.007639425799994176
ZNF385B,0.13922125013215048,12.0,8.795699095912049,7.698169341777843e-10,1.6220765057000084e-08
ZNF385D,0.27905995989295623,12.0,7.809870557469595,6.750766494438479e-09,1.0717423772549917e-07
ZNF394,0.013058380502115488,12.0,1.3698064333407374,0.2020901231909128,0.28685769297701946
ZNF395,0.02008042396193456,12.0,1.304162568683946,0.23675206028643075,0.32510482483188713
ZNF397,0.011375798738320496,12.0,0.7789091097611514,0.6697708511395484,0.7402772773128029
ZNF398,0.03310508205056441,12.0,1.9472093272926692,0.04349328108277859,0.08148242771316892
ZNF408,0.034021789291695484,12.0,1.6096311725596504,0.1095914790483348,0.174196157272064
ZNF41,0.010512653965128863,12.0,0.8356815054632438,0.6139288978525888,0.6908294380333175
ZNF410,0.014207192244562905,12.0,0.576420677744529,0.8536148632491432,0.8924816237990361
ZNF414,0.023199382275864062,12.0,0.8641380175016375,0.5860652378704251,0.666150933256496
ZNF415,0.014481917934510192,12.0,1.2234603266065498,0.28570118503215713,0.377112458683501
ZNF420,0.05407388609591396,12.0,4.096605617938312,8.546039480491327e-05,0.00041702136479260276
ZNF426,0.016268285127404695,12.0,1.486541790609123,0.15092480745284895,0.22614077733076873
ZNF428,0.025298790175556727,12.0,0.6438242224417093,0.7973317396753516,0.8459304826513007
ZNF429,0.024149445591275704,12.0,2.013845861612024,0.03602997118721053,0.07000716916898811
ZNF43,0.01548614707211164,12.0,0.6811169544626554,0.7635787815590455,0.8192253468314876
ZNF436,0.16122393536333274,12.0,2.770275724005096,0.003997433732656914,0.01105024611537222
ZNF444,0.007648042815774757,12.0,0.35047109665157644,0.975692675878567,0.9840282759572667
ZNF445,0.018610881190167815,12.0,0.5329565317526644,0.8857917838091921,0.9165372933468786
ZNF446,0.027880364137166193,12.0,1.5684473831037515,0.12212882763205628,0.1905358433003899
ZNF45,0.008384413471894345,12.0,0.5646219666479839,0.86270304989915,0.8990232778939988
ZNF451,0.009610525400526634,12.0,0.917832050101865,0.5343122627005181,0.6208856725308435
ZNF462,0.1027619054126772,12.0,3.8342304403268734,0.00018028603969126946,0.0007946739365616128
ZNF470,0.003454204522756217,12.0,0.5323917867508237,0.8861855140419995,0.9165445595078885
ZNF471,0.024080580733898186,12.0,1.500507889187358,0.14562789042924132,0.21989859217324598
ZNF48,0.024820667830310117,12.0,1.4895570838263932,0.1497671515148562,0.2248582962903629
ZNF483,0.34045150962535975,12.0,19.97854821940268,8.764911738518834e-18,1.6141461457656285e-15
ZNF493,0.009818156994003777,12.0,0.5980114293327592,0.8363544553031876,0.8785251910143455
ZNF496,0.009123932218103594,12.0,1.0736895031427651,0.3957458487848593,0.4888031892167652
ZNF500,0.012658431617404372,12.0,1.3569164587840528,0.20854503164142454,0.294115890849171
ZNF503,0.03123459435177862,12.0,1.7487518313564958,0.07540802753985401,0.1287339511438196
ZNF506,0.04021648310971431,12.0,1.2144130658554408,0.29163866525497256,0.38318640773660007
ZNF507,0.010776635875036548,12.0,1.0125761019335082,0.44752479015164504,0.5375434734824351
ZNF510,0.010286381909706276,12.0,1.3087773760339045,0.234167521058073,0.322319220659427
ZNF511,0.06330699830532471,12.0,2.624994309455103,0.006125688713716558,0.015786549587434105
ZNF512,0.022236033127877135,12.0,1.018444104383841,0.4423955838199105,0.5327725001064263
ZNF512B,0.027349846106041135,12.0,1.3904990222557672,0.1920762446993849,0.2747185556371445
ZNF513,0.013327329387142952,12.0,0.4326026955960613,0.9447702929298452,0.9620087202585441
ZNF514,0.04858948009440568,12.0,1.3512005886472724,0.2114614553920462,0.2972728368320552
ZNF518A,0.0113988688687132,12.0,0.8680460703156497,0.5822565689401376,0.6633776895323913
ZNF518B,0.015830941088416334,12.0,0.5500892596271169,0.873542040877086,0.9076027929025833
